characteristicType,siteType,numSites,numRecords,totalNumUniqueSites
Radiochemical,Ocean,77,234,96683
Radiochemical,Spring,4338,20184,96683
Radiochemical,Stream,37411,295270,96683
Radiochemical,Subsurface,473,2974,96683
Radiochemical,Well,45193,315680,96683
Radiochemical,Wetland,103,470,96683
Sediment,Aggregate surface-water-use,233,668,32316
Sediment,Aggregate groundwater use,3,82,32316
Sediment,Atmosphere,10,95,32316
Sediment,Estuary,294,6184,32316
Sediment,Facility,325,36838,32316
Sediment,Glacier,0,0,32316
Sediment,"Lake, Reservoir, Impoundment",1605,27981,32316
Sediment,Land,145,3045,32316
Sediment,Ocean,89,402,32316
Sediment,Spring,52,461,32316
Sediment,Stream,29061,2978591,32316
Sediment,Subsurface,32,1439,32316
Sediment,Well,236,2256,32316
Sediment,Wetland,52,1033,32316
Stable Isotopes,Aggregate surface-water-use,0,0,35663
Stable Isotopes,Aggregate groundwater use,0,0,35663
Stable Isotopes,Atmosphere,209,2778,35663
Stable Isotopes,Estuary,1887,44732,35663
Stable Isotopes,Facility,114,722,35663
Stable Isotopes,Glacier,7,167,35663
Stable Isotopes,"Lake, Reservoir, Impoundment",2224,33976,35663
Stable Isotopes,Land,177,2150,35663
Stable Isotopes,Ocean,510,16574,35663
Stable Isotopes,Spring,2353,9680,35663
Stable Isotopes,Stream,6213,67201,35663
Stable Isotopes,Subsurface,280,2941,35663
Stable Isotopes,Well,21567,73984,35663
Stable Isotopes,Wetland,79,651,35663
Toxicity,Aggregate surface-water-use,1,3,3568
Toxicity,Aggregate groundwater use,0,0,3568
Toxicity,Atmosphere,0,0,3568
Toxicity,Estuary,3397,3692,3568
Toxicity,Facility,0,0,3568
Toxicity,Glacier,0,0,3568
Toxicity,"Lake, Reservoir, Impoundment",23,173,3568
Toxicity,Land,0,0,3568
Toxicity,Ocean,0,0,3568
Toxicity,Spring,0,0,3568
Toxicity,Stream,138,452,3568
Toxicity,Subsurface,0,0,3568
Toxicity,Well,5,41,3568
Toxicity,Wetland,4,4,3568
